f,dB
5.000000,-49.154
5.879733,-48.014
6.759465,-48.164
7.639198,-50.359
8.518931,-49.368
9.398664,-50.084
10.278396,-51.180
11.158129,-50.878
12.037862,-50.269
12.917595,-51.250
13.797327,-51.322
14.677060,-50.598
15.556793,-49.234
16.436525,-49.910
17.316257,-48.509
18.195992,-50.571
19.075724,-48.863
19.955456,-50.996
20.835188,-50.023
21.714922,-50.448
22.594656,-51.447
23.474388,-51.612
24.354120,-50.145
25.233852,-48.965
26.113586,-51.195
26.993319,-50.317
27.873053,5.415
28.752785,5.120
29.632517,-49.282
30.512247,-49.484
31.391981,-49.717
32.271717,-50.312
33.151447,-51.014
34.031181,-51.253
34.910912,-51.352
35.790649,-51.426
36.670380,-51.343
37.550114,-51.568
38.429844,-51.999
39.309574,-51.574
40.189312,-51.068
41.069038,-51.809
41.948776,-51.411
42.828507,-50.489
43.708241,-51.339
44.587971,-51.764
45.467705,-51.173
46.347439,-51.911
47.227173,-52.031
48.106903,-51.867
48.986637,-52.117
49.866367,-51.593
50.746105,-51.808
51.625835,-52.036
52.505569,-51.784
53.385300,-51.624
54.265034,-52.073
55.144768,-51.831
56.024502,-51.785
56.904232,-51.740
57.783962,-52.085
58.663696,-52.119
59.543430,-51.806
60.423164,-52.381
61.302895,-51.485
62.182629,-52.176
63.062359,-52.027
63.942097,-52.119
64.821823,-51.690
65.701561,-52.273
66.581291,-52.469
67.461021,-52.130
68.340759,-51.954
69.220490,-52.457
70.100227,-52.137
70.979950,-52.482
71.859688,-52.099
72.739426,-52.402
73.619148,-52.256
74.498886,-52.311
75.378616,-52.638
76.258354,-52.287
77.138084,-52.331
78.017815,-52.390
78.897553,-52.319
79.777283,-52.784
80.657013,-52.751
81.536751,-52.514
82.416481,-52.530
83.296219,-52.667
84.175941,-49.430
85.055679,-50.268
85.935410,-52.335
86.815147,-52.997
87.694878,-52.483
88.574608,-52.218
89.454346,-52.839
90.334084,-52.867
91.213806,-52.363
92.093544,-52.870
92.973274,-53.046
93.853004,-52.656
94.732735,-52.875
95.612473,-52.530
96.492210,-52.755
97.371933,-52.991
98.251671,-52.690
99.131401,-52.467
100.011139,-52.878
100.890869,-52.841
101.770599,-53.084
102.650337,-52.934
103.530067,-52.841
104.409798,-53.175
105.289536,-52.687
106.169266,-52.962
107.049004,-53.281
107.928726,-52.680
108.808464,-53.084
109.688194,-52.957
110.567925,-52.634
111.447662,-52.640
112.327393,-52.582
113.207130,-53.180
114.086861,-53.215
114.966591,-52.906
115.846329,-52.346
116.726059,-52.594
117.605789,-52.761
118.485519,-52.685
119.365257,-52.402
120.244995,-52.885
121.124718,-52.413
122.004456,-52.737
122.884186,-53.005
123.763924,-53.402
124.643654,-53.184
125.523384,-52.882
126.403122,-52.728
127.282845,-52.921
128.162582,-52.753
129.042313,-53.067
129.922043,-53.353
130.801788,-52.654
131.681519,-52.504
132.561249,-52.760
133.440979,-53.234
134.320725,-52.836
135.200455,-52.837
136.080170,-53.272
136.959900,-52.723
137.839645,-52.962
138.719376,-53.050
139.599106,-53.044
140.478851,-49.793
141.358582,-51.828
142.238297,-52.848
143.118042,-52.816
143.997772,-52.726
144.877502,-52.775
145.757233,-52.653
146.636978,-52.664
147.516708,-52.463
148.396439,-53.108
149.276169,-53.040
150.155899,-52.474
151.035629,-52.587
151.915360,-52.694
152.795105,-52.814
153.674835,-52.868
154.554565,-52.765
155.434311,-52.928
156.314026,-52.518
157.193756,-53.339
158.073502,-52.948
158.953232,-52.658
159.832962,-51.859
160.712692,-52.219
161.592438,-51.687
162.472153,-52.410
163.351883,-52.100
164.231628,-52.351
165.111359,-52.196
165.991089,-52.351
166.870819,-52.354
167.750565,-52.493
168.630295,-52.526
169.510010,-52.579
170.389755,-52.236
171.269485,-52.373
172.149216,-52.861
173.028961,-52.493
173.908691,-52.674
174.788422,-52.545
175.668137,-52.487
176.547882,-52.458
