f,dB
284.476593,-50.924
285.365234,-51.915
286.253876,-52.128
287.142517,-51.774
288.031158,-52.087
288.919800,-51.625
289.808441,-51.673
290.697113,-52.023
291.585754,-51.655
292.474396,-51.648
293.363037,-51.768
294.251678,-51.346
295.140320,-51.662
296.028961,-51.968
296.917603,-52.667
297.806244,-52.021
298.694885,-51.740
299.583527,-51.349
300.472168,-51.779
301.360809,-51.408
302.249451,-51.930
303.138092,-51.740
304.026733,-51.883
304.915375,-52.072
305.803986,-48.988
306.692627,-49.091
307.581268,-51.389
308.469910,-38.594
309.358551,-13.281
310.247223,-25.862
311.135864,-51.919
312.024506,-49.308
312.913147,-49.110
313.801788,-52.093
314.690430,-51.742
315.579071,-51.712
316.467712,-51.891
317.356354,-51.405
318.244995,-51.196
319.133636,-51.524
320.022278,-51.661
320.910919,-52.037
321.799561,-51.542
322.688202,-51.870
323.576843,-51.685
324.465485,-51.947
325.354126,-51.563
326.242737,-51.771
327.131378,-51.654
328.020020,-51.924
328.908661,-51.672
329.797302,-51.959
330.685974,-51.618
331.574616,-51.578
332.463257,-51.429
333.351898,-51.942
334.240540,-51.049
335.129181,-51.397
336.017822,-51.661
336.906464,-21.094
337.795105,-20.667
338.683746,-51.722
339.572388,-51.599
340.461029,-51.021
341.349670,-51.573
342.238312,-52.016
343.126953,-52.242
344.015594,-51.795
344.904236,-51.630
345.792877,-52.113
346.681519,-51.523
347.570129,-51.826
348.458771,-51.480
349.347412,-52.066
350.236084,-51.767
351.124725,-51.855
352.013367,-51.860
352.902008,-51.517
353.790649,-51.402
354.679291,-51.421
355.567932,-51.466
356.456574,-50.793
357.345215,-52.066
358.233856,-51.435
359.122498,-52.075
360.011139,-51.495
360.899780,-51.674
361.788422,-50.666
362.677063,-48.906
363.565704,-51.505
364.454346,-51.511
365.342987,-15.583
366.231628,-15.906
367.120270,-51.536
368.008911,-50.657
368.897522,-49.013
369.786163,-51.645
370.674835,-51.800
371.563477,-51.780
372.452118,-51.939
373.340759,-51.533
374.229401,-51.571
375.118042,-51.246
376.006683,-51.803
376.895325,-51.670
377.783966,-51.887
378.672607,-51.689
379.561249,-51.237
380.449890,-51.774
381.338532,-51.432
382.227173,-51.671
383.115814,-51.515
384.004456,-51.312
384.893097,-51.230
385.781738,-51.667
386.670380,-51.259
387.559021,-51.746
388.447662,-51.514
389.336273,-51.503
390.224945,-50.921
391.113586,-51.061
392.002228,-51.812
392.890869,-35.405
393.779511,-21.299
394.668152,-43.654
395.556793,-51.987
396.445435,-51.134
397.334076,-50.953
398.222717,-51.551
399.111359,-51.463
400.000000,-51.589
